================================================================
=== 1. ARRIBA HIGH/MEDIUM CONFIDENCE FUSIONS (376 lines) ===
================================================================
SAMPLE|GENE1|GENE2|BREAKPOINT1|BREAKPOINT2|CONFIDENCE|SPLIT_READS1|SPLIT_READS2|DISCORDANT|READING_FRAME|TYPE
103-MO-15-563486477|TCF3|PBX1|chr19:1619111|chr1:164792494|high|39|32|446|in-frame|translocation
103-MO-15-563486477|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|high|15|26|102|.|deletion/read-through
103-MO-15-563486477|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|5|3|258|out-of-frame|deletion/read-through
103-MO-15-563486477|LINC02200(65443),APC(30003)|APC|chr5:112707882|chr5:112754873|high|5|5|20|.|deletion/read-through
103-MO-15-563486477|ENSG00000287700|DMD|chrX:33725628|chrX:33020200|high|3|0|374|.|deletion
103-MO-15-563486477|RAF1|TMEM40|chr3:12590798|chr3:12763836|high|1|3|132|out-of-frame|duplication
103-MO-15-563486477|RAF1|TMEM40|chr3:12590798|chr3:12749840|high|2|2|132|out-of-frame|duplication
103-MO-15-563486477|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|23|27|135|.|duplication
103-MO-15-563486477|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|medium|3|2|25|.|deletion/read-through
103-MO-15-563486477|ENSG00000261349(604),RHD(4699)|RSRP1|chr1:25267740|chr1:25247029|medium|2|0|16|.|deletion/read-through
103-MO-15-563486477|GRAMD4|CERK|chr22:46674750|chr22:46721015|medium|1|0|452|out-of-frame|inversion
137-MO-21-563591362|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|high|90|83|301|.|duplication
137-MO-21-563591362|BALR6(145537),SATB1(158237)|BALR6|chr3:18187140|chr3:18041449|high|19|82|349|.|duplication
137-MO-21-563591362|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|high|72|16|173|.|deletion/read-through
137-MO-21-563591362|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|high|35|44|228|.|deletion/read-through
137-MO-21-563591362|ENSG00000224412(6932),REEP3(24831)|JMJD1C|chr10:63496570|chr10:63380482|high|14|10|181|.|deletion/read-through
137-MO-21-563591362|AFF1|KMT2A|chr4:87084164|chr11:118484183|high|14|7|90|in-frame|translocation
137-MO-21-563591362|KCNMB2-AS1|ZMAT3|chr3:178801793|chr3:179004184|high|1|4|13|.|duplication
137-MO-21-563591362|KCNMB2-AS1|ZMAT3|chr3:178801793|chr3:178966958|high|1|2|13|.|duplication
137-MO-21-563591362|LCOR|MIR607(3058),LCOR(438)|chr10:96833841|chr10:96831822|high|0|2|11|out-of-frame|duplication
137-MO-21-563591362|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|0|1|24|.|translocation
137-MO-21-563591362|ENSG00000276721(138),NPIPB4(810)|CRYM-AS1|chr16:21833759|chr16:21315884|high|1|1|3|.|duplication
137-MO-21-563591362|UFD1-AS1|UFD1|chr22:19448325|chr22:19458139|high|1|0|5|.|inversion
137-MO-21-563591362|ZC3H12C|ENSG00000289465|chr11:110119679|chr11:109956886|medium|1|25|179|.|deletion/read-through/3'-3'
137-MO-21-563591362|IRGM|IRGM(29278),ZNF300(16412)|chr5:150848654|chr5:150877980|medium|6|2|23|out-of-frame|deletion/read-through
137-MO-21-563591362|STAG3|STAG3L5P-PVRIG2P-PILRB|chr7:100213806|chr7:100345865|medium|5|1|951|out-of-frame|deletion/read-through
137-MO-21-563591362|LINC01226|LINC01226|chr1:31536409|chr1:31528430|medium|10|2|45|.|duplication
137-MO-21-563591362|STAG3|STAG3L5P|chr7:100213806|chr7:100345865|medium|5|0|951|out-of-frame|deletion/read-through
137-MO-21-563591362|SNORD3A|ENSG00000280441|chr17:19188191|chr21:8399972|medium|0|1|65535|.|translocation
137-MO-21-563591362|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|medium|3|3|10|.|deletion/read-through
137-MO-21-563591362|HECW1|HECW1|chr7:43365226|chr7:43360886|medium|4|2|8|stop-codon|duplication
137-MO-21-563591362|LINC03000|LINC03000|chr5:165015583|chr5:165007369|medium|3|1|19|.|duplication
137-MO-21-563591362|ENSG00000254350|ENSG00000253134(38552),LINC02227(3318)|chr5:158424690|chr5:158317365|medium|4|2|14|.|duplication
137-MO-21-563591362|NR2C2|BMI1|chr3:14947906|chr10:22326431|medium|2|0|21|.|translocation
137-MO-21-563591362|NR2C2|COMMD3-BMI1|chr3:14947906|chr10:22326431|medium|2|0|21|.|translocation
152-MO-20-563637230|CLUHP5(3516),DUX4L28(278)|IGHJ4|chr10:133664151|chr14:105864256|high|253|151|602|.|translocation
152-MO-20-563637230|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|high|21|21|87|.|deletion/read-through
152-MO-20-563637230|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|14|7|289|out-of-frame|deletion/read-through
152-MO-20-563637230|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|high|33|2|64|.|deletion/read-through
152-MO-20-563637230|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|high|10|3|42|.|deletion/read-through
152-MO-20-563637230|TMPRSS15(56787),ENSG00000228708(16786)|TMPRSS15|chr21:18460572|chr21:18398329|high|10|4|147|.|deletion/read-through
152-MO-20-563637230|LINC02200(65443),APC(30003)|APC|chr5:112707882|chr5:112754873|high|12|4|34|.|deletion/read-through
152-MO-20-563637230|RNF213|ENDOV|chr17:80398047|chr17:80423520|high|12|5|64|.|deletion/read-through
152-MO-20-563637230|NUS1P1|ENSG00000238124|chrX:47513069|chr7:65463373|high|2|0|20|.|translocation
152-MO-20-563637230|CLUHP5(3516),DUX4L28(278)|IGHM|chr10:133664151|chr14:105864256|medium|31|220|602|.|translocation
152-MO-20-563637230|SMG1P1|NPIPB5|chr16:22491825|chr16:22513520|medium|6|12|215|.|deletion/read-through
152-MO-20-563637230|RRN3P3|CDR2|chr16:22429796|chr16:22365014|medium|4|4|39|.|deletion/read-through
152-MO-20-563637230|SHISAL2A|SHISAL2A(10334),COA7(17050)|chr1:52643002|chr1:52667399|medium|3|5|53|out-of-frame|deletion/read-through
152-MO-20-563637230|CLUHP5(3516),DUX4L28(278)|IGHD|chr10:133664151|chr14:105864256|medium|2|3|602|.|translocation
152-MO-20-563637230|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|4|0|7|.|duplication
152-MO-20-563637230|ENSG00000272140|BMS1P4|chr10:73704986|chr10:73728587|medium|1|1|30|.|duplication
